CMDLINE /home/ufabc/anaconda3/bin/python3.6 trie.py
MEM 172.429688 1573782274.3988
MEM 172.429688 1573782274.4991
MEM 172.429688 1573782274.5994
MEM 172.429688 1573782274.6997
MEM 172.937500 1573782274.8000
MEM 173.187500 1573782274.9003
MEM 173.437500 1573782275.0006
MEM 173.437500 1573782275.1009
MEM 173.687500 1573782275.2012
MEM 173.937500 1573782275.3015
MEM 174.187500 1573782275.4018
MEM 174.437500 1573782275.5021
MEM 174.687500 1573782275.6024
MEM 174.937500 1573782275.7027
MEM 175.187500 1573782275.8030
MEM 175.437500 1573782275.9033
MEM 175.687500 1573782276.0036
MEM 175.937500 1573782276.1039
MEM 176.187500 1573782276.2041
MEM 176.437500 1573782276.3044
MEM 177.714844 1573782276.4048
MEM 177.937500 1573782276.5051
MEM 178.957031 1573782276.6055
MEM 178.957031 1573782276.7058
MEM 178.957031 1573782276.8061
MEM 179.187500 1573782276.9064
MEM 179.437500 1573782277.0066
MEM 179.691406 1573782277.1069
MEM 179.691406 1573782277.2072
MEM 179.937500 1573782277.3075
MEM 180.187500 1573782277.4078
MEM 180.187500 1573782277.5081
MEM 180.437500 1573782277.6084
MEM 180.687500 1573782277.7086
MEM 180.937500 1573782277.8089
MEM 181.187500 1573782277.9092
MEM 181.437500 1573782278.0095
MEM 181.687500 1573782278.1098
MEM 181.941406 1573782278.2101
MEM 182.187500 1573782278.3104
MEM 182.437500 1573782278.4107
MEM 182.687500 1573782278.5110
MEM 182.937500 1573782278.6114
MEM 183.187500 1573782278.7117
MEM 183.437500 1573782278.8120
MEM 183.687500 1573782278.9122
MEM 183.937500 1573782279.0125
MEM 184.187500 1573782279.1128
MEM 184.437500 1573782279.2131
MEM 184.687500 1573782279.3134
MEM 184.937500 1573782279.4137
MEM 185.187500 1573782279.5140
MEM 185.437500 1573782279.6143
MEM 185.687500 1573782279.7146
MEM 185.937500 1573782279.8149
MEM 186.187500 1573782279.9152
MEM 186.437500 1573782280.0154
MEM 186.691406 1573782280.1157
MEM 186.691406 1573782280.2160
MEM 186.691406 1573782280.3162
MEM 186.691406 1573782280.4165
MEM 186.691406 1573782280.5168
MEM 186.691406 1573782280.6171
MEM 186.937500 1573782280.7174
MEM 187.187500 1573782280.8177
MEM 187.437500 1573782280.9180
MEM 188.191406 1573782281.0183
MEM 188.191406 1573782281.1186
MEM 188.449219 1573782281.2189
MEM 188.687500 1573782281.3191
MEM 188.937500 1573782281.4194
MEM 189.187500 1573782281.5196
MEM 189.437500 1573782281.6199
MEM 189.687500 1573782281.7202
MEM 190.187500 1573782281.8205
MEM 190.437500 1573782281.9208
MEM 190.687500 1573782282.0211
MEM 190.937500 1573782282.1213
MEM 191.187500 1573782282.2216
MEM 191.437500 1573782282.3219
MEM 191.687500 1573782282.4221
MEM 193.437500 1573782282.5225
MEM 194.937500 1573782282.6228
MEM 194.937500 1573782282.7231
MEM 194.937500 1573782282.8234
MEM 195.187500 1573782282.9237
MEM 195.437500 1573782283.0240
MEM 195.687500 1573782283.1243
MEM 195.687500 1573782283.2246
MEM 195.937500 1573782283.3249
MEM 196.187500 1573782283.4253
MEM 196.437500 1573782283.5256
MEM 196.437500 1573782283.6259
MEM 196.691406 1573782283.7262
MEM 196.937500 1573782283.8265
MEM 197.187500 1573782283.9268
MEM 197.437500 1573782284.0271
